Date,Close,High,Low,Open,Volume
2011-03-07,0.4691900908946991,0.4808797591519821,0.4572712579240464,0.4792753055965905,1019140000
2011-03-08,0.44810277223587036,0.47675381667674055,0.43824678015966145,0.47423254116021873,1947184000
2011-03-09,0.4387052655220032,0.451082534434892,0.4348087012034047,0.44672755882110377,1318976000
2011-03-10,0.410741925239563,0.4318290960683029,0.4102834865045764,0.42862018886620373,1722736000
2011-03-11,0.41372156143188477,0.425182009223791,0.40478244439627925,0.4141800001096473,1486832000
2011-03-14,0.4171597361564636,0.4274741151034287,0.4102834562013545,0.4169305168059003,1003360000
2011-03-15,0.40478235483169556,0.41165860559108,0.38988378419590436,0.3967600349552887,1256280000
2011-03-16,0.4018026888370514,0.42059779835656164,0.3965308904919155,0.40111505821398236,1476520000
2011-03-17,0.40936657786369324,0.4132631150276115,0.39423881319931026,0.4125754843930858,1238516000
2011-03-18,0.4038655161857605,0.41715963414389745,0.4034071049205333,0.41578437302442334,886960000
2011-03-21,0.4070744216442108,0.41670116684591013,0.4029486658938281,0.4125754110955274,751832000
2011-03-22,0.3999690115451813,0.40982497749562413,0.3981353390133184,0.4059284404427871,718332000
2011-03-23,0.40822044014930725,0.40936648183006735,0.3905713764065706,0.39928129864510514,782396000
2011-03-24,0.44076821208000183,0.4458108192373676,0.41601369696891266,0.41693051972999773,1780592000
2011-03-25,0.42701563239097595,0.44581074163577783,0.4263280017779573,0.4446646997220116,1196392000
2011-03-28,0.44283100962638855,0.4501656721187388,0.43320423607364833,0.4371007729611038,1204284000
2011-03-29,0.43939298391342163,0.4444355638155592,0.43343355391393196,0.44283111029994265,715764000
2011-03-30,0.42288994789123535,0.44466477527641857,0.41738892937618516,0.44283110243806845,1176320000
2011-03-31,0.42311906814575195,0.4281616744267965,0.4153259940594378,0.4235775067704247,655112000
2011-04-01,0.4171597361564636,0.4290785685859746,0.4114294983065728,0.42862015720864705,850072000
2011-04-04,0.40226098895072937,0.41830559886667595,0.3992812752902852,0.41715955725295034,924328000
2011-04-05,0.4029487669467926,0.4114294725293074,0.40203191692578183,0.4082205657652631,821076000
2011-04-06,0.4001981019973755,0.4063867208914048,0.3967599500298194,0.4059283097369926,856984000
2011-04-07,0.4148675203323364,0.4173888232595283,0.39951056544762004,0.4011150185268366,1021208000
2011-04-08,0.40226098895072937,0.4180763796144159,0.4011149473370037,0.4180763796144159,746552000
2011-04-11,0.3969893455505371,0.40592848998800457,0.3926343966641438,0.4038655978914515,546208000
2011-04-12,0.39813530445098877,0.40088579934811397,0.3857580364282371,0.39309272591896055,840756000
