Date,Close,High,Low,Open,Volume
2011-02-23,45.94062423706055,46.52297116541526,45.61709871426435,46.26414975985675,78154000
2011-02-24,45.61709213256836,46.19943897690127,45.61709213256836,45.94061760868586,62708000
2011-02-25,45.61709213256836,46.005321716587964,45.228862548548754,45.68179624047046,78655000
2011-03-01,46.19944381713867,46.45826521247036,45.29357140178154,45.29357140178154,77441000
2011-03-02,45.55239486694336,45.94062450927768,45.55239486694336,45.81121627403549,52968000
2011-03-03,45.811214447021484,46.328852303953894,45.35827576852215,45.35827576852215,59349000
2011-03-04,46.45825958251953,46.58766779619954,46.13473411171259,46.264142325392605,55215000
2011-03-07,45.87591552734375,46.39355335003412,45.87591552734375,46.32884923927372,30090000
2011-03-08,46.26414108276367,46.45825833467672,45.617090158529216,45.617090158529216,49251000
2011-03-09,46.19944381713867,46.71708167119453,46.005326536488035,46.71708167119453,42715000
2011-03-10,45.61709213256836,46.65237266882298,45.35827076435295,46.65237266882298,61899000
2011-03-11,45.2935791015625,45.68180879225422,44.97005353655134,45.2935791015625,52528000
2011-03-14,45.48768997192383,45.617098204954395,44.71122576391746,45.48768997192383,47199000
2011-03-15,43.99946975708008,45.35827592402133,42.83477593592611,45.2935718087589,114456000
2011-03-16,44.322994232177734,44.71122385126948,44.06417284058075,44.51711151002733,60944000
2011-03-17,43.61125183105469,43.6759559636791,42.5112618300041,43.22302209869931,104629000
2011-03-18,44.19357681274414,44.25828091303355,43.48181689974142,43.87005137469069,55649000
2011-03-21,44.646522521972656,44.71122663975542,43.99947147092958,44.1935887608856,34725000
2011-03-22,44.38770294189453,44.97004989913295,44.25829470100064,44.97004989913295,31467000
2011-03-23,44.4524040222168,44.711225422911596,44.06417438947841,44.711225422911596,31189000
2011-03-24,44.90534973144531,45.358283551051045,44.646528290267014,44.711232416409494,44701000
2011-03-25,46.070030212402344,46.070030212402344,45.29357097040974,45.552392363276425,51518000
2011-03-28,45.94062423706055,45.94062423706055,45.48769047978895,45.68180283150205,28535000
2011-03-29,45.811214447021484,46.07003090718392,45.55239305025151,45.68180128033273,34785000
2011-03-30,45.48768997192383,45.8112154911079,45.29357268577032,45.48768997192383,60127000
2011-03-31,45.681800842285156,45.94062223657326,45.29357121915674,45.94062223657326,41950000
2011-04-01,45.74650573730469,45.811214789436505,45.35827610755168,45.74650573730469,26616000
2011-04-06,47.17001724243164,47.17001724243164,46.26414488669931,46.26414488669931,114050000
2011-04-07,47.105308532714844,47.23471674092401,46.78178307558523,47.23471674092401,45048000
2011-04-08,47.17001724243164,47.23472135285384,46.846491753713465,47.17001724243164,64884000
2011-04-11,46.00532150268555,47.23471929353737,45.87591328748303,47.23471929353737,42409000
2011-04-12,45.3582763671875,45.74650599916278,45.3582763671875,45.61709776737355,45901000
2011-04-13,45.74650573730469,45.811214789436505,45.293571992027445,45.35827610755168,27328000
2011-04-14,45.16415786743164,45.617091553604794,45.03474471666292,45.48768333944302,46816000
2011-04-15,44.77592849731445,45.293571286662164,44.711224382797866,45.293571286662164,51993000
2011-04-18,44.646522521972656,45.16416533745023,44.51711428640714,45.16416533745023,27120000
2011-04-19,44.064178466796875,44.322999891440766,43.99947434478791,44.322999891440766,42649000
2011-04-20,45.16415786743164,45.16415786743163,44.32298966555927,44.64651513757065,48039000
2011-04-21,45.74650573730469,46.134740303665275,45.487689275207735,45.74650573730469,50849000
2011-04-22,45.87591552734375,45.940619638104145,45.48768592617417,45.87591552734375,25299000
2011-04-25,45.48768997192383,46.005327840653756,45.35827680228561,45.94062372413847,22040000
2011-04-26,45.48768997192383,45.48768997192383,44.71122576391746,45.099455399616815,31838000
